ID,Código,EXPEDIENTE,ENTIDAD,Dirección/Dependencia,Estado,Solicitudes de acompañamiento en gestión del conocimiento,Fecha de la solicitud por parte de la entidad o dependencia,Proceso de gestión del conocimiento,Linea de investigación,Objetivo de la investigación,Productos entregables,Método de recolección,Instrumentos seleccionados,Porcentaje de avance,Investigador responsable,Apoyo y seguimiento,Equipo,Observaciones,Fecha estimada entrega para diagramación,Título,Descripción,Fecha socialización,Vídeo socialización,Link Ficha,Ficha lista para envío,Fecha envío
29,TRANSMIAMIGO 02 MEDICIONES COMBO VIOLETA,202391004200100048E,SCRD,Dirección de Transformaciones Culturales,Finalizada,Medición de acciones del Combo Violeta,28/02/2023,"Caracterizaciones, diagnósticos y líneas de base",Investigación cultura ciudadana ,"Medir la intervención del Combo Violeta y los Florgráficos en las estaciones de Av Jiménez, Las Aguas y Museo. El objetivo de la medición es evaluar la percepción de los usuarios sobre esta invervención y la calidad del servicio de transmilenio. ",Presentación con los resultados de las mediciones.,Método cuantitativo ,Sondeo,100%,Paula González ,Rafael Villa,Cultura ciudadana,,19/08/2023,Medición de acciones del Combo Violeta,"Intervenciones del Combo Violeta y los Florgráficos en las estaciones de Av Jiménez, Las Aguas y Museo. Evaluar la percepción de los usuarios sobre esta intervención y la calidad del servicio de transmilenio. ",,,https://drive.google.com/file/d/1G5MOzaxpeHANi8zofGs3JUWeT7CNPeii/view,Sí,24/08/2023
30,CULTURA CIUDADANA 01 2023 ENCUESTA DE INDICADORES,,SCRD,Dirección de Transformaciones Culturales,En ejecución,Encuesta de Indicadores de cultura ciudadana y garantía de derechos - ECCGD 2023,1/03/2023,"Caracterizaciones, diagnósticos y líneas de base",Investigación cultura ciudadana ,Levantar información para alimentar los indicadores de politicas públicas que tiene como responsabilidad la Subsecretaría de Cultura Ciudadana y el Observatorio.,Presentación con los resultados de las mediciones.,Método cuantitativo ,Encuesta ,70%,"Equipo Cultura Ciudadana

María del Pilar Acosta",Equipo Analítica,Analítica,,15/12/2023,,,,,,No,
31,LINEA CALMA 01 ENCUESTA VIF/LC 2023,202391004200100046E,SCRD,Dirección de Transformaciones Culturales,Finalizada,Encuesta de Línea Calma y Violencia de Pareja,1/03/2023,"Caracterizaciones, diagnósticos y líneas de base",Investigación cultura ciudadana ,Levantar información para hacer seguimiento y disponer de insumos para la evaluación de la estrategia Linea Calma,Presentación con los resultados de las mediciones.,Método cuantitativo ,Encuesta ,100%,Daniel Galeano,"Rafael Villa
Gisela Castrillón",Cultura ciudadana,,30/09/2023,,,,,,No,
32,ESCUELA DE HOMBRES 01 ENCUESTA LABORES DEL CUIDADO 2023,202391004200100044E,SCRD,Dirección de Transformaciones Culturales,Finalizada,Encuesta de las labores del cuidado - EHC,1/03/2023,"Caracterizaciones, diagnósticos y líneas de base",Investigación cultura ciudadana ,Levantar información para hacer seguimiento y disponer de insumos para la evaluación de la estrategia Hombres al Cuidado,Presentación con los resultados de las mediciones.,Método cuantitativo ,Encuesta ,100%,Daniel Galeano,"Rafael Villa
Gisela Castrillón",Cultura ciudadana,,25/09/2023,,,,,,No,
33,PARCHE EN LA BUENA 01 DIAGNÓSTICO Y ANÁLISIS ENCUESTA VIP,202391004200100060E,SCRD,Dirección de Transformaciones Culturales,Finalizada,Diagnóstico parche en la buena y análisis de resultados encuesta de Violencia Interpersonal,1/03/2023,"Caracterizaciones, diagnósticos y líneas de base",Investigación cultura ciudadana ,Analizar la información recolectada a través de la encuesta de Violencia Interpersonal para alimnetar el diagnóstico de la estrategia de Seguridad y Convivencia. ,Un documento diagnóstico,Método cualitativo,Documento,100%,Carlos Suarez,Rafael Villa ,Cultura ciudadana,,ok,,,,,,No,
34,CULTURA CIUDADANA 02 SEMANA DE LA CULTURA CIUDADANA 2023,,SCRD,Subsecretaría Distrital de Cultura Ciudadana,En ejecución,Semana de la Cultura Ciudadana,1/03/2023,"Caracterizaciones, diagnósticos y líneas de base",Investigación cultura ciudadana ,Realizar las mediciones de las actividades que se hacen en el mes de octubre respecto de la Semana de la Cultura Ciudadana. ,Memoria de la semana de la cultura ciudadana,Método mixto ,Documento,10%,Equipo Cultura Ciudadana,"Rafael Villa
Karen Marriner",Cultura ciudadana,,15/10/2023,,,,,,No,
35,SOMOS 02 ANALISIS DE REDES SOCIALES,202391004200100055E,SCRD,Dirección de Transformaciones Culturales,En ejecución,Anáisis de Redes Sociales para identificación de tratos y/o comentarios discriminatorios ,1/03/2023,"Seguimiento, monitoreo y evaluaciones",Investigación cultura ciudadana ,"Identificar los tratos y o comentarios en diferentes Twitter para verificar comportamients de discriminación hacia población Indígena, NARP, LGBTI y Migrante",Documento diseño de bateria de indicadores,Método mixto ,Documento,15%,Karen Marriner,Rafael Villa,Cultura ciudadana,,08/09/2023,,,,,,No,
36,CULTURA CIUDADANA 03 MAPEO DE ACTORES,202391004200100053E,SCRD,Dirección de Política y Redes de Articulación,Finalizada,Mapeo de actores que trabajen en temas de Cultura Ciudadana,9/03/2023,"Caracterizaciones, diagnósticos y líneas de base",Investigación cultura ciudadana ,"La solicitud consiste en un mapeo de las organizaciones sociales y comunitarias que estén trabajando temas relacionados con cultura ciudadana, desagregados por localidad y con una caracterización básica de localidad, temas, perfiles de los integrantes, tipos de procesos que realizan y datos de contacto. ",Documento con mapeo de actores,Método cualitativo,Documento,90%,Karen Marriner,Rafael Villa,Cultura ciudadana,,30/08/2023,,,,,,No,
37,CULTURA CIUDADANA 04 EVALUACIÓN ENFOQUE DE CULTURA CIUDADANA,202391004200100056E,SCRD,Dirección de Política y Redes de Articulación,En ejecución,Evaluación a la transversalización del enfoque de Cultura Ciudadana,9/03/2023,"Seguimiento, monitoreo y evaluaciones",Investigación cultura ciudadana ,La solicitud consiste en una evaluación del proceso de transversalización del enfoque de cultura ciudadana en los equipos técnicos que han hecho uso del protocolo IDEARR y de la oferta de formación ,Propuesta de evaluación,Método mixto ,Documento propuesta metodológica,30%,Karen Marriner,Rafael Villa,Cultura ciudadana,,30/09/2023,,,,,,No,
38,CULTURA CIUDADANA 05 2023 AVES CUIDADORAS,202391004200100051E,SCRD,Dirección de Política y Redes de Articulación,En ejecución,Propuesta de observación con los servidores públicos,9/03/2023,"Seguimiento, monitoreo y evaluaciones",Investigación cultura ciudadana ,La idea es hacer los procesos de observación con los servidores públicos en el marco de la estrategia y definir los instrumentos a realizar,Propuesta de observación,Método mixto ,Documento propuesta metodológica,70%,Paula González ,Rafael Villa,Cultura ciudadana,,15/09/2023,,,,,,No,
39,CULTURA CIUDADANA 06 SISTEMA DE INFORMACIÓN REDES,,SCRD,Dirección de Política y Redes de Articulación,En ejecución,Creación de sistema de información para la Dirección de Redes y Acción Colectiva,9/03/2023,Sistematizaciones y memorias sociales y/o institucionales,Investigación cultura ciudadana ,"Se tiene como proyecto para el año en curso, crear el sistema de información de la  Dirección, que permita integrar sus fuentes de datos y procesar indicadores de gestión o estadísticas, así como visualizar o publicar información georeferenciada propia de las actividades de la Dirección, a la vez que se genera memoria institucional.",Propuesta de sistema a desarrollar,Método mixto ,Documento propuesta,50%,Mauricio Ojeda,Rafael Villa,Sistemas de Información y Narrativas,15/Ago. Diccionario de datos listo. En depuración de datos.,29/08/2023,S.I. Dirección de Redes y Acción Colectiva,Asesoría en el diseño de un modelo de datos para la implementación de un sistema de información de los agentes y participantes registrados en la red de contactos de Cultura Ciudadana,,,,No,
40,LINEA CALMA 03 ESTANDARIZACIÓN DATOS,,SCRD,Dirección de Transformaciones Culturales,En ejecución,"Estandarizar, normalizar y depurar todas las bases de datos de la línea calma, así como la creación de un tablero de control interno para el análisis periodico de esta informacion.",9/03/2023,Sistematizaciones y memorias sociales y/o institucionales,Investigación cultura ciudadana ,"Se requiere el acompañamiento por parte del observatorio, para estandarizar, normalizar y depurar todas las bases de datos de la línea calma, así como la creación de un tablero de control interno para el análisis periodico de esta informacion, basado en los reportes repetitivos.  esta se debe diligenciar por medio del Plan anual de investigaciones,",Base de datos estandarizada,Método cuantitativo ,Base de datos,75%,Mauricio Ojeda,Maritza Téllez,Sistemas de Información y Narrativas,05/jul: Se tiene el segundo avance de base de datos 2022 y versión de tablero de control. 52 columnas identificadas. Se ha encontrado que la mayoría descriptivos de los datos están vacíos.,05/09/2023,Preparación BD Operación Línea Calma,"Procesamiento de bases de datos de operación de la estrategia ""Línea Calma""",,,,No,
41,ESCUELA DE HOMBRES 02 EVALUACIÓN EHC 2022,202391004200100041E,SCRD,Dirección de Transformaciones Culturales,Finalizada,Propuesta de evaluación a la estrategia Escuela de Hombres al Cuidado,16/03/2023,"Seguimiento, monitoreo y evaluaciones",Investigación cultura ciudadana ,Elaborar una propuesta de evaluación de  de la Estrategia de Escuela de Hombres al Cuidado,Documento propuesta de evaluación,Método mixto ,Documento propuesta metodológica,95%,Karen Marriner,"Daniel Galeano
Rafael Villa",Cultura ciudadana,,ok,Evaluación Escuela de Hombres al Cuidado 2022,"Recopilación de ejercicios evaluativos de los pilotos de la estrategia ""Escuela de Hombres al Cuidado"" que busca transformar culturalmente la participación de los hombres en los trabajos de cuidado indirecto, directo, emocional y medioambiental.",,,https://drive.google.com/file/d/1bUFA5fpKZk5gqwFIDaakmU7B1xcI65yu/view,Sí,18/08/2023
42,ESCUELA DE HOMBRES 03 SISTEMA CAPTURA INFORMACIÓN,,SCRD,Dirección de Transformaciones Culturales,En ejecución,Sistema de captura de información de la EHC,16/03/2023,Sistematizaciones y memorias sociales y/o institucionales,Investigación cultura ciudadana ,Elaborar el sistema de captura de información de las acciones de la Escuela de Hombres al Cuidado,Sistema de captura,Método mixto ,Prototipo funcional,88%,Mauricio Ojeda,Rafael Villa,Sistemas de Información y Narrativas,11/jul: No se hará uso de formularios de acciones por ahora. Solo formularios de registro de usuarios y asistencia.,18/09/2023,"S.I. Estrategia ""Escuela Hombres al Cuidado""","Asesoría en el diseño de un modelo de datos y formularios para la implementación del sistema de información de las actividades de la estrategia ""Hombres al Cuidado""",,,,No,
43,ESCUELA DE HOMBRES 04 EVALUACIÓN COMUNICACIONES,,SCRD,Dirección de Transformaciones Culturales,En ejecución,Evaluación narrativas y comunicaciones de la Escuela de Hombres,16/03/2023,"Seguimiento, monitoreo y evaluaciones",Investigación cultura ciudadana ,Evaluación de las narrativas aplicadas en los módulos de MasterClass de la Escuela de Hombres al Cuidado.,Documento evaluación,Por definir,,20%,Daniel Galeano,"Karen Marriner
Rafael Villa",Cultura ciudadana,,15/09/2023,,,,,,No,
44,LINEA CALMA 04 DOCUMENTO MASCULINIDADES,202391004200100047E,SCRD,Dirección de Transformaciones Culturales,En ejecución,Documento Conceptual de Masculinidades No Violentas,16/03/2023,Análisis documental y/o estados del arte,Investigación cultura ciudadana ,Documento conceptual sobre las masculinidades no violentas desarrollado por el Semillero del Observatorio. ,Documento artículo de investigación,Por definir,,0%,Daniel Galeano,,Cultura ciudadana,,30/09/2023,,,,,,No,
45,LINEA CALMA 02 CELOS,202391004200100040E,SCRD,Dirección de Transformaciones Culturales,Finalizada,Evaluación línea calma - Documento de evaluación e impacto en espacios psicoeducativos grupales de la línea. (Laboratorios del Amor),21/03/2023,"Seguimiento, monitoreo y evaluaciones",Investigación cultura ciudadana ,Docuemento con los resultados de los instrumentos aplicados en los espacios psicoeducativos que realice la Línea Calma. ,Documento resultados,Por definir,,100%,Daniel Galeano,Rafael Villa,Cultura ciudadana,Entregada y enviada,ok,Línea Calma: Capítulo Celos,Evaluación de espacios psicoeducativos grupales,,https://drive.google.com/file/d/1l6KX8fUwON1M7zrSskdvC5WqytYBjKpl/view,https://drive.google.com/file/d/17QVZAUZf8IcpCRQJofJcyCNqJ8YgJ_Cn/view?usp=drive_link,Sí,01/08/2023
46,BOGOTA CONCIENTE 01 FESTIVAL CALMA,202391004200100054E,SCRD,Dirección de Transformaciones Culturales,Finalizada,Observación - medición Festival Calma en la Ciudad,21/03/2023,"Caracterizaciones, diagnósticos y líneas de base",Investigación cultura ciudadana ,"El objetivo es hacer una medición de la percepción de la ciudadanía el evento ""Festival Calma"" que se realizará  del 17 al 25 de junio.",Documento resultados medición,Método cuantitativo ,Sondeo,80%,Karen Marriner,Rafael Villa,Cultura ciudadana,Listo diagramación,ok,,,,,,No,
48,SEGURIDAD VIAL 01 MEDICIÓN CICLISTAS,202391004200100052E,SCRD,Dirección de Transformaciones Culturales,En ejecución,Medición sobre uso de elementos reflectivos y buen uso del casco - Seguridad Vial,21/03/2023,"Caracterizaciones, diagnósticos y líneas de base",Investigación cultura ciudadana ,Diseño de instrumento de medición y aplicación del instrumento para medir el buen uso de los elementos reflectivos y uso del casco en bici usuarios y motociclistas,Documento resultados medición,Método cuantitativo ,Sondeo,50%,Paula González ,Rafael Villa,Cultura ciudadana,Se acuerda que se medirá obstaculos y reflectivos en ciclistas.,15/02/2023,,,,,,No,
49,AMBIENTE 01 ANALISIS RESULTADOS ECA,202391004200100042E,SCRD,Dirección de Transformaciones Culturales,Finalizada,Analisis de la Encuesta de Cultura Ambiental - ECA 2022,21/03/2023,"Caracterizaciones, diagnósticos y líneas de base",Investigación cultura ciudadana ,El objetivo es hacer un analisis de los resultados de la Encuesta de Cultura Ambiental realizada en el 2022,Documento diagramado,Método mixto ,Documento,100%,Paula González ,Rafael Villa,Cultura ciudadana,,Ok,Gestión Integral de los residuos sólidos en Bogotá,Un análisis de los resultados de las encuestas de cultura ambiental y cuidado del entorno 2021 y 2022,,,https://drive.google.com/file/d/1AdYgr7dls4bxxfJne-t5ih-Ok28zLHDL/view?usp=drive_link,Sí,04/08/2023
50,AMBIENTE 02 MEDICIÓN QUE NO SE VUELVA PAISAJE 2023,202391004200100049E,SCRD,Dirección de Transformaciones Culturales,En ejecución,Medición de una acción de Residuos Solidarios en el marco de la. Estrategia. ,21/03/2023,"Caracterizaciones, diagnósticos y líneas de base",Investigación cultura ciudadana ,"El objetivo es diseñar un instrumento de medición de las acciones que se desarrollen en la estrategia de ambiente. Posteriormente, se deben analizar los resultados.",Resultados de la medición,Método cuantitativo ,Documento,50%,Paula González ,Rafael Villa,Cultura ciudadana,"Se hará en el marco de la estrategia ""Que no se vuelva Paisaje""",30/12/2023,,,,,,No,
51,PARCHE EN LA BUENA 02 TRANSFERENCIA METODOLÓGICA,,SCRD,Dirección de Transformaciones Culturales,En ejecución,Acompañamiento y revisión de la transferencia metodológica de la acción Más Rimas Cero Riñas,21/03/2023,"Seguimiento, monitoreo y evaluaciones",Investigación cultura ciudadana ,El objetivo es acompañar y avalar el diseño del protocolo de transferenia metodológica de la estratégia más rimas cero riñas ,Documento avalado,Método cualitativo,Documento,50%,Carlos Suarez,Rafael Villa,Cultura ciudadana,,15/09/2023,,,,,,No,
52,SEMILLERO 01 MACHISMOS Y FEMINISMOS,,SCRD,Dirección Observatorio y Gestión del Conocimiento Cultural,ND/NA,Relatos sobre machismos y feminismos radicales en territorios digitales hispanoparlantes,,,Investigación cultura ciudadana ,Compilación de relatos en redes sociales de influenciadores más pronunciados entorno a los machismos y feminismos.,,Por definir,Documento,0%,Equipo Cultura Ciudadana,Rafael Villa,Cultura ciudadana,,30/11/2023,,,,,,No,
53,ENTRENAMIENTO FISICO 01 FASE DIAGNÓSTICA,,SCRD,Dirección de Transformaciones Culturales,En ejecución,"Acompañamiento en la consolidación del Estado del Arte de los beneficios de la actividad física para la salud mental, con perspectiva de Cultura Ciudadana. ",21/03/2023,"Caracterizaciones, diagnósticos y líneas de base",Investigación cultura ciudadana ,El objetivo del acompañamiento es brindar las herramientas y apoyar en la consolidación de la información recolectada sobre los beneficios de la actividad física y el metodo PONS de entrenamiento para mejorar la salud mental y el bienestar en la ciudadanía. ,Documento Estado del Arte y diseño de matriz de consistencia preliminar,Por definir,Documento,0%,Sandra Murcia,Rafael Villa,Cultura ciudadana,,08/09/2023,,,,,,No,